weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
AUG,24,0.042,0.8,24.098,11.23,75.57,0.0,0.0,4.0,0.0,0.0,1.0,0.0,buguofengs
SKS,19,0.158,0.0,142.96,141.44,143.73,1.0,0.0,2.0,0.0,0.0,0.0,0.0,buguofengs
AUG,28,0.143,0.0,58.505,17.89,100.01,2.0,0.0,1.0,1.0,0.0,0.0,0.0,Pull7
Frag Grenade,2,0.5,0.0,26.35,26.35,26.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pull7
K2,50,0.06,0.5714285714285714,38.08571428571429,33.82,60.25,1.0,0.0,5.0,0.0,0.0,1.0,0.0,Pull7
Mk12,43,0.07,0.25,130.44,85.2,243.37,1.0,0.0,2.0,0.0,1.0,0.0,0.0,Pull7
Mk12,7,0.286,0.0,243.365,243.36,243.37,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Youngsan_
Frag Grenade,1,0.0,1.0,17.11,17.11,17.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,laoyuyouxiha
AUG,4,0.5,0.0,5.699999999999999,5.55,5.85,0.0,0.0,1.0,0.0,0.0,1.0,0.0,caiccc1
M16A4,55,0.182,0.6296296296296297,10.301481481481481,1.9,42.72,0.0,0.0,18.0,5.0,0.0,4.0,0.0,caiccc1
Micro UZI,10,0.0,1.0,3.8657142857142857,3.52,4.01,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Kanroji_Mitsuri_
Frag Grenade,1,1.0,0.0,38.16,38.16,38.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Chopsport
Thompson,47,0.106,0.6666666666666666,36.434666666666665,32.85,41.21,1.0,0.0,11.0,0.0,2.0,1.0,0.0,Chopsport
AUG,73,0.11,0.0,31.93375,14.62,71.19,2.0,0.0,4.0,2.0,0.0,0.0,0.0,Dxxx-_-Jxxx
Beryl M762,21,0.143,0.0,22.416666666666668,21.77,23.3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Dxxx-_-Jxxx
Frag Grenade,1,1.0,0.0,34.49,34.49,34.49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Dxxx-_-Jxxx
M416,29,0.069,0.0,4.105,4.0,4.21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,429_S2
Beryl M762,2,0.5,0.0,0.83,0.83,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,rlarudtnroahtgka
ACE32,17,0.059,0.0,80.3,80.3,80.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,XvX-Don-Quixote
AUG,27,0.074,0.7142857142857143,13.957142857142857,1.82,43.75,1.0,0.0,3.0,3.0,0.0,0.0,0.0,XvX-Don-Quixote
Frag Grenade,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,XvX-Don-Quixote
AUG,106,0.104,0.08333333333333333,38.531666666666666,1.86,104.32,5.0,0.0,4.0,0.0,3.0,0.0,0.0,xuezhixixxx
Beryl M762,99,0.192,0.24,24.884,5.19,50.21,10.0,0.0,13.0,1.0,0.0,1.0,0.0,xuezhixixxx
Frag Grenade,2,0.5,0.0,35.77,35.77,35.77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,xuezhixixxx
M16A4,13,0.077,0.0,209.39,209.39,209.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,KANG_YUNA
MP5K,87,0.08,0.36363636363636365,32.516363636363636,8.82,69.95,0.0,0.0,6.0,3.0,0.0,2.0,0.0,KANG_YUNA
Vector,38,0.158,0.625,10.929375,2.75,18.2,0.0,0.0,7.0,7.0,1.0,1.0,0.0,KANG_YUNA
Mini14,3,0.667,0.0,106.03999999999999,106.03,106.05,0.0,0.0,2.0,0.0,0.0,0.0,0.0,KOR_YOOF
M416,61,0.082,0.6875,2.95875,2.09,4.51,2.0,0.0,11.0,1.0,1.0,1.0,0.0,TV-allure
Mini14,9,0.111,0.0,81.29,81.29,81.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TV-allure
Beryl M762,25,0.08,0.6666666666666666,38.093333333333334,0.86,112.5,1.0,0.0,5.0,0.0,0.0,0.0,0.0,i1v4t
AUG,19,0.053,0.9230769230769231,3.588461538461539,3.22,4.54,7.0,0.0,5.0,0.0,1.0,0.0,0.0,JjachineOwO
Beryl M762,55,0.073,0.3333333333333333,27.746666666666666,18.45,44.08,0.0,0.0,5.0,1.0,0.0,0.0,0.0,JjachineOwO
ACE32,39,0.051,0.3333333333333333,28.873333333333335,15.27,37.11,0.0,0.0,1.0,1.0,0.0,1.0,0.0,push_ah
Mk12,9,0.556,0.16666666666666666,215.25666666666666,214.44,217.68,0.0,0.0,4.0,0.0,0.0,2.0,0.0,push_ah
AUG,28,0.036,0.75,11.872499999999999,7.61,24.08,0.0,0.0,3.0,0.0,0.0,1.0,0.0,GeGedaoDa
Frag Grenade,4,0.25,0.0,39.69,39.69,39.69,0.0,0.0,0.0,0.0,0.0,0.0,1.0,GeGedaoDa
M416,97,0.134,0.13333333333333333,41.45733333333333,20.95,84.25,0.0,0.0,9.0,3.0,1.0,2.0,0.0,yamulttagjige
Mini14,68,0.118,0.2,307.668,236.18,388.47,2.0,0.0,6.0,0.0,0.0,2.0,0.0,yamulttagjige
UMP45,20,0.15,0.5714285714285714,5.662857142857143,1.58,11.09,0.0,0.0,7.0,0.0,0.0,0.0,0.0,yamulttagjige
UMP45,38,0.132,0.16666666666666666,23.058333333333334,5.15,30.44,0.0,0.0,4.0,1.0,0.0,1.0,0.0,l-yeye_
AKM,68,0.118,0.0,66.67625,21.92,133.18,0.0,0.0,5.0,0.0,1.0,2.0,0.0,me1me1b1epao
M249,55,0.164,0.25,43.732499999999995,37.99,48.21,1.0,0.0,8.0,0.0,1.0,2.0,0.0,me1me1b1epao
SKS,16,0.188,0.0,104.13666666666666,102.19,105.15,0.0,0.0,1.0,0.0,2.0,0.0,0.0,M76222222222
Vector,21,0.143,0.25,6.61,6.37,6.83,3.0,0.0,1.0,0.0,0.0,0.0,0.0,M76222222222
AUG,18,0.111,0.3333333333333333,22.139999999999997,0.97,64.46,1.0,0.0,0.0,2.0,0.0,0.0,0.0,beaut_girl
Vector,23,0.217,0.16666666666666666,7.691666666666666,7.11,8.8,1.0,0.0,4.0,1.0,0.0,0.0,0.0,Sweet-LemonBBang
Mk47 Mutant,11,0.091,0.0,4.36,4.36,4.36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BenDanNo1-
Mk47 Mutant,5,0.2,0.0,31.75,31.75,31.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ARTVS2022
Mini14,18,0.278,0.0,155.474,91.71,207.76,2.0,0.0,2.0,0.0,0.0,1.0,0.0,CUTIEHOYA
M416,43,0.116,0.5,39.711,32.56,46.42,2.0,0.0,7.0,0.0,1.0,0.0,0.0,Dr-1993
M416,53,0.057,0.5714285714285714,62.41285714285714,53.45,93.74,0.0,0.0,4.0,1.0,0.0,2.0,0.0,HOXY_YoonMo
AUG,24,0.208,0.6666666666666666,7.227333333333333,2.72,14.29,0.0,0.0,4.0,3.0,2.0,6.0,0.0,Reaction_18
AKM,20,0.05,0.0,4.49,4.49,4.49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,owo_-x
Frag Grenade,6,0.667,0.2,50.572,22.14,70.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,GIIXA
M416,23,0.13,0.0,46.78,46.78,46.78,0.0,0.0,0.0,2.0,0.0,1.0,0.0,GIIXA
Mk12,35,0.257,0.18181818181818182,110.85272727272728,92.96,171.36,1.0,0.0,6.0,2.0,0.0,2.0,0.0,GIIXA
Frag Grenade,1,1.0,0.0,40.16,40.16,40.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Garbage-Y_1203
K2,32,0.094,0.0,39.39333333333334,39.12,39.77,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Garbage-Y_1203
AUG,11,0.182,0.0,57.595,57.28,57.91,0.0,0.0,1.0,0.0,1.0,0.0,0.0,ErMe1-
Mini14,20,0.05,0.8571428571428571,150.4114285714286,78.9,575.94,4.0,0.0,2.0,0.0,1.0,0.0,0.0,ErMe1-
AUG,95,0.105,0.5,21.909,3.1,46.23,2.0,0.0,12.0,5.0,0.0,1.0,0.0,RISINGSKULL_
Mk12,18,0.111,0.5,138.1225,72.77,315.39,2.0,0.0,2.0,0.0,0.0,0.0,0.0,RISINGSKULL_
AKM,20,0.2,0.6363636363636364,7.040909090909091,2.44,9.83,0.0,0.0,7.0,3.0,0.0,1.0,0.0,CHU-XIN-26
Beryl M762,18,0.278,0.0,27.516,26.02,29.09,0.0,0.0,3.0,1.0,0.0,1.0,0.0,CHU-XIN-26
AKM,16,0.125,0.5,27.192500000000003,27.16,27.25,0.0,0.0,1.0,2.0,0.0,1.0,0.0,OxO_albbano
AUG,80,0.05,0.5555555555555556,3.3699999999999997,2.41,3.88,0.0,0.0,6.0,2.0,0.0,1.0,0.0,Superyuppers
Frag Grenade,6,0.167,0.6666666666666666,16.586666666666666,4.24,41.22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Superyuppers
P90,31,0.032,0.75,51.16,41.08,80.19,1.0,0.0,1.0,2.0,0.0,0.0,0.0,Superyuppers
Frag Grenade,1,2.0,0.3333333333333333,13.386666666666665,9.12,16.04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Fear_And_Dreams
K2,13,0.231,0.4,23.624000000000002,23.51,23.85,0.0,0.0,3.0,1.0,0.0,1.0,0.0,Only_beryl_-
AWM,5,0.2,0.0,70.97,70.97,70.97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ozYkJGM7YyLc1O
Frag Grenade,5,0.6,0.25,49.9,36.49,63.22,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ozYkJGM7YyLc1O
Mini14,31,0.129,0.5555555555555556,103.60222222222222,96.06,115.21,1.0,0.0,5.0,0.0,1.0,2.0,0.0,ozYkJGM7YyLc1O
AUG,37,0.081,0.75,33.69583333333333,6.62,42.36,0.0,0.0,9.0,1.0,2.0,0.0,0.0,iFTY_HuaHai
UMP45,5,0.0,1.0,37.206,37.02,37.59,0.0,0.0,3.0,2.0,0.0,0.0,0.0,iFTY_HuaHai
AUG,41,0.049,0.3333333333333333,41.38666666666666,36.57,50.06,0.0,0.0,2.0,1.0,0.0,0.0,0.0,Mad_Poppy
Frag Grenade,3,0.333,0.0,49.39,49.39,49.39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mad_Poppy
Mk12,26,0.231,0.25,211.8325,207.11,218.07,2.0,0.0,6.0,0.0,0.0,0.0,0.0,Mad_Poppy
ACE32,9,0.333,0.25,1.38,1.1,1.73,0.0,0.0,4.0,0.0,0.0,0.0,0.0,letmepa
AKM,16,0.125,0.0,79.49,79.49,79.49,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10041050
AUG,72,0.014,0.0,61.2,61.2,61.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10041050
AUG,34,0.059,0.8,38.597,9.98,46.52,1.0,0.0,4.0,3.0,1.0,1.0,0.0,muzzzzzzzzz-
Mk12,11,0.182,0.0,193.08,193.05,193.11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,muzzzzzzzzz-
AUG,58,0.172,0.4444444444444444,14.150555555555556,9.24,19.92,0.0,0.0,6.0,5.0,2.0,5.0,0.0,KKOMl
Mini14,48,0.021,0.0,211.65,211.65,211.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,KKOMl
UMP45,45,0.044,0.0,64.375,57.39,71.36,1.0,0.0,1.0,0.0,0.0,0.0,0.0,KKOMl
Frag Grenade,2,0.5,0.0,39.61,39.61,39.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ssssYYYYYssss
AUG,8,0.25,0.0,32.14,32.13,32.15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,DNUHWNU
M416,35,0.0,1.0,7.7,7.7,7.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DNUHWNU
AKM,3,0.667,0.0,99.74,99.74,99.74,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10819-
M24,5,0.4,0.3333333333333333,4.31,4.0,4.88,0.0,0.0,2.0,0.0,1.0,0.0,0.0,10819-
AKM,45,0.156,0.3,36.478,7.67,42.31,2.0,0.0,5.0,0.0,2.0,1.0,0.0,BTG_XiaoYi
Vector,41,0.122,0.6666666666666666,3.509333333333333,2.76,4.47,0.0,0.0,4.0,5.0,4.0,2.0,0.0,BTG_XiaoYi
