weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
M24,4,0.5,0.5,35.9375,27.12,53.73,4.0,0.0,0.0,0.0,0.0,0.0,0.0,OMG_Scholar
AKM,85,0.141,0.6666666666666666,15.589722222222225,1.73,33.15,2.0,0.0,17.0,7.0,5.0,5.0,0.0,HERO-TRINIY
AUG,99,0.121,0.4,35.1625,6.09,69.38,0.0,0.0,14.0,2.0,3.0,1.0,0.0,HERO-TRINIY
Mk12,26,0.231,0.0,81.67,67.98,90.18,0.0,0.0,5.0,1.0,0.0,0.0,0.0,HERO-TRINIY
SCAR-L,40,0.15,0.76,11.9348,0.89,26.49,1.0,0.0,14.0,3.0,2.0,5.0,0.0,HERO-TRINIY
ACE32,14,0.143,0.5,17.4725,17.28,17.62,0.0,0.0,4.0,0.0,0.0,0.0,0.0,Hs-2yaya
AUG,13,0.308,0.0,105.25,104.61,105.91,0.0,0.0,2.0,1.0,0.0,1.0,0.0,Hs-2yaya
Frag Grenade,2,0.5,0.0,39.4,39.4,39.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Hs-2yaya
Groza,18,0.111,0.6,13.586000000000002,3.95,27.75,2.0,0.0,2.0,1.0,0.0,0.0,0.0,Hs-2yaya
Mk12,17,0.294,0.1666666666666666,86.24833333333333,39.55,150.25,3.0,0.0,2.0,1.0,0.0,0.0,0.0,Hs-2yaya
Molotov Cocktail,1,0.0,1.0,14.65,14.65,14.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Hs-2yaya
Frag Grenade,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,leek2333
MP5K,60,0.017,0.0,7.12,7.12,7.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,leek2333
SKS,56,0.179,0.2307692307692307,257.57615384615383,1.41,509.96,2.0,0.0,5.0,2.0,1.0,3.0,0.0,leek2333
Micro UZI,55,0.073,0.6666666666666666,3.089166666666667,1.48,6.22,2.0,0.0,9.0,0.0,0.0,1.0,0.0,L_zhishui
AKM,52,0.192,0.3333333333333333,79.93866666666666,5.7,208.25,2.0,0.0,6.0,4.0,2.0,1.0,0.0,RASH-HearTBeat
Beryl M762,40,0.1,0.0,11.3925,3.12,27.1,1.0,0.0,2.0,1.0,0.0,0.0,0.0,RASH-HearTBeat
SKS,25,0.24,0.0,149.70833333333334,73.68,219.16,4.0,0.0,2.0,0.0,0.0,0.0,0.0,RASH-HearTBeat
Beryl M762,181,0.204,0.5131578947368421,14.357105263157896,1.28,54.42,15.0,0.0,34.0,9.0,6.0,12.0,0.0,0412-_-i
AUG,138,0.014,0.0,10.22,5.36,15.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Kevin-_0627
AWM,3,0.333,0.0,180.86,180.86,180.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin-_0627
Beryl M762,28,0.143,0.0,48.1825,44.26,49.96,0.0,0.0,3.0,1.0,0.0,0.0,0.0,Kevin-_0627
Frag Grenade,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Kevin-_0627
Mk12,75,0.16,0.2941176470588235,276.964705882353,121.86,580.23,3.0,0.0,9.0,2.0,0.0,3.0,0.0,Kevin-_0627
M416,56,0.107,0.3333333333333333,40.11666666666667,26.51,68.59,2.0,0.0,5.0,1.0,1.0,0.0,0.0,PAglBOJkb
