weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
Frag Grenade,1,1.0,0.0,12.13,12.13,12.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Torpido_5016
AKM,25,0.2,0.375,24.9125,4.93,42.66,3.0,0.0,2.0,2.0,1.0,0.0,0.0,Mohaipangzi
AUG,68,0.015,0.0,18.55,18.55,18.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,kong_aim
M416,83,0.072,0.0,23.69666666666667,14.4,27.15,0.0,0.0,2.0,1.0,0.0,3.0,0.0,kong_aim
M416,32,0.188,0.0,38.97666666666667,25.21,102.94,0.0,0.0,5.0,1.0,0.0,0.0,0.0,Amoo6
ACE32,7,0.286,0.0,22.965,22.96,22.97,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Duo_Ge__
AUG,42,0.048,0.0,33.935,32.04,35.83,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Duo_Ge__
AWM,4,0.25,0.0,278.64,278.64,278.64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Duo_Ge__
M24,3,0.0,1.0,128.53,128.53,128.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Duo_Ge__
M416,35,0.143,0.16666666666666666,33.02333333333333,3.0,71.81,0.0,0.0,5.0,1.0,0.0,0.0,0.0,she1leycake
QBZ95,28,0.107,0.0,120.66000000000001,108.42,131.12,0.0,0.0,1.0,0.0,1.0,1.0,0.0,ZHANAN14538
ACE32,100,0.06,0.45454545454545453,26.35,13.48,43.35,2.0,0.0,4.0,3.0,1.0,1.0,0.0,KunShan-xxx
Frag Grenade,1,1.0,0.0,14.4,14.4,14.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,KunShan-xxx
QBZ95,80,0.112,0.71875,8.1371875,3.78,16.03,4.0,0.0,12.0,4.0,4.0,8.0,0.0,goodbang9__
AUG,56,0.071,0.2,36.528,29.64,60.17,1.0,0.0,3.0,0.0,0.0,1.0,0.0,SSS998-
UMP45,34,0.029,0.0,4.94,4.94,4.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ck_yiqing
M24,35,0.114,0.2,302.912,177.21,399.55,3.0,0.0,0.0,0.0,2.0,0.0,0.0,immcayy
Beryl M762,12,0.083,0.0,11.62,11.62,11.62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Vip88888_
MP5K,25,0.12,0.7,8.672,7.54,9.81,0.0,0.0,6.0,0.0,1.0,3.0,0.0,Clanxin
Mk47 Mutant,37,0.108,0.6666666666666666,4.246666666666667,3.0,7.8,4.0,0.0,5.0,1.0,1.0,1.0,0.0,Jinminator
AUG,103,0.097,0.47368421052631576,20.82578947368421,4.38,67.9,2.0,0.0,11.0,2.0,2.0,2.0,0.0,CTN_J1NG
Frag Grenade,4,0.25,0.5,68.52000000000001,68.12,68.92,0.0,0.0,0.0,0.0,0.0,0.0,2.0,CTN_J1NG
QBU,110,0.2,0.35294117647058826,227.6735294117647,66.73,378.71,6.0,0.0,16.0,6.0,5.0,1.0,0.0,CTN_J1NG
AUG,9,0.222,0.0,5.395,5.3,5.49,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Losai-
AUG,25,0.12,0.4,10.959999999999999,10.72,11.26,2.0,0.0,3.0,0.0,0.0,0.0,0.0,xywwu79092
Frag Grenade,1,1.0,0.0,27.66,27.66,27.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,xywwu79092
QBZ95,32,0.188,0.45454545454545453,17.994545454545456,2.35,43.38,4.0,0.0,7.0,0.0,0.0,0.0,0.0,xywwu79092
QBZ95,30,0.067,0.5,32.8325,32.27,33.02,1.0,0.0,2.0,0.0,0.0,1.0,0.0,xsh-zzy
ACE32,136,0.11,0.4,30.6316,10.79,66.73,3.0,0.0,11.0,2.0,2.0,7.0,0.0,Ez031231
Kar98k,4,0.0,1.0,39.52,39.52,39.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ez031231
Beryl M762,9,0.333,0.0,4.793333333333334,4.69,4.91,0.0,0.0,2.0,0.0,1.0,0.0,0.0,HYiKing
Mk12,68,0.059,0.0,317.03000000000003,127.09,404.63,0.0,0.0,3.0,0.0,1.0,0.0,0.0,LostWolfHL
AUG,59,0.136,0.2727272727272727,69.41727272727273,56.15,83.63,7.0,0.0,2.0,1.0,1.0,0.0,0.0,Mr_Chen_xiaoyu
Beryl M762,16,0.25,0.2,5.534000000000001,5.15,6.09,0.0,0.0,3.0,2.0,0.0,0.0,0.0,Mr_Chen_xiaoyu
Frag Grenade,1,0.0,1.0,61.24,61.24,61.24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mr_Chen_xiaoyu
ACE32,6,0.5,0.0,4.73,4.42,5.12,0.0,0.0,2.0,1.0,0.0,0.0,0.0,ayn2v5ml986
M416,10,0.4,0.0,26.267500000000002,26.03,26.6,0.0,0.0,3.0,1.0,0.0,0.0,0.0,ayn2v5ml986
AKM,15,0.067,0.0,7.45,7.45,7.45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,gxt931228
MP5K,83,0.096,0.7142857142857143,37.60785714285714,2.17,56.33,3.0,0.0,12.0,7.0,3.0,3.0,0.0,Aatrox-Lzy
UMP45,27,0.148,0.5555555555555556,17.37666666666667,1.39,37.38,0.0,0.0,7.0,1.0,1.0,0.0,0.0,njyyy5
Thompson,3,0.667,0.0,14.940000000000001,14.89,14.99,0.0,0.0,2.0,0.0,0.0,0.0,0.0,lm_hi
Beryl M762,4,0.25,0.0,10.77,10.77,10.77,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Magicstickooooo
Mk12,94,0.106,0.0,266.036,97.68,410.98,2.0,0.0,6.0,0.0,1.0,1.0,0.0,Magicstickooooo
M416,6,0.167,0.0,14.65,14.65,14.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Segw0n
AUG,96,0.021,0.0,21.2,20.24,22.16,0.0,0.0,1.0,0.0,1.0,0.0,0.0,BedsidePT
Beryl M762,47,0.043,0.0,32.14,8.43,55.85,0.0,0.0,0.0,0.0,0.0,2.0,0.0,BedsidePT
Frag Grenade,2,0.5,0.0,13.79,13.79,13.79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BedsidePT
Mk12,35,0.257,0.18181818181818182,242.57545454545453,50.88,320.07,1.0,0.0,8.0,1.0,0.0,1.0,0.0,BedsidePT
MP5K,18,0.167,0.4,21.259999999999998,21.04,21.5,0.0,0.0,3.0,2.0,0.0,0.0,0.0,Jason-YXL
AKM,6,0.0,1.0,2.55,2.49,2.67,0.0,0.0,4.0,0.0,0.0,0.0,0.0,RL-RiMei_1
Frag Grenade,3,0.0,1.0,41.57,25.64,57.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,RL-RiMei_1
