weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
ACE32,27,0.074,0.75,4.57875,1.0,5.87,0.0,0.0,2.0,5.0,1.0,0.0,0.0,DLOOO0
SKS,13,0.154,0.0,291.64,291.04,292.24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,DLOOO0
Beryl M762,73,0.082,0.14285714285714285,11.67,5.94,28.21,1.0,0.0,3.0,3.0,0.0,0.0,0.0,JAY_ting1
Kar98k,7,0.143,0.0,126.33,126.33,126.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,JAY_ting1
Beryl M762,48,0.083,0.3333333333333333,13.461666666666666,10.31,15.57,0.0,0.0,3.0,1.0,1.0,1.0,0.0,barba9898
M416,62,0.065,0.0,34.63,33.87,35.06,0.0,0.0,2.0,0.0,1.0,1.0,0.0,ge2jsk
MP5K,190,0.068,0.5357142857142857,20.42642857142857,10.75,34.07,0.0,0.0,19.0,3.0,2.0,4.0,0.0,Monster_Hunter__
SKS,33,0.121,0.0,118.92999999999999,92.82,142.39,1.0,0.0,2.0,1.0,0.0,0.0,0.0,Monster_Hunter__
Beryl M762,29,0.034,0.0,13.24,13.24,13.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fjsaufnhwjqk
Frag Grenade,1,1.0,0.0,33.78,33.78,33.78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,mandarin_red
M416,31,0.065,0.0,20.7,20.32,21.08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,mandarin_red
Kar98k,5,0.2,0.0,257.73,257.73,257.73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,ClessLi
Beryl M762,45,0.156,0.4166666666666667,6.2,2.82,8.58,1.0,0.0,9.0,1.0,1.0,0.0,0.0,X-3030467185_
Beryl M762,114,0.018,0.0,43.915000000000006,37.74,50.09,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Dr_Sherrin
Kar98k,3,0.333,0.0,162.91,162.91,162.91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Dr_Sherrin
M24,10,0.4,0.0,170.8175,52.22,370.94,0.0,0.0,2.0,0.0,1.0,1.0,0.0,Dr_Sherrin
Beryl M762,47,0.021,0.0,2.52,2.52,2.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CXP-1121
Frag Grenade,3,0.333,0.5,53.14,42.59,63.69,0.0,0.0,0.0,0.0,0.0,0.0,2.0,PTStUL6zjQ
M416,59,0.051,0.5714285714285714,43.769999999999996,42.75,46.97,0.0,0.0,5.0,0.0,1.0,1.0,0.0,PTStUL6zjQ
Mini14,41,0.073,0.0,158.20666666666668,110.53,246.72,1.0,0.0,1.0,0.0,0.0,1.0,0.0,PTStUL6zjQ
AKM,41,0.049,0.0,11.54,11.35,11.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Lighting157
Micro UZI,67,0.045,0.8235294117647058,10.216470588235294,2.34,18.43,4.0,0.0,7.0,4.0,0.0,2.0,0.0,goat23
Frag Grenade,3,0.667,0.0,33.85,18.34,49.36,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Liliya_Yu
MP5K,71,0.042,0.0,38.36666666666667,4.35,66.88,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Liliya_Yu
UMP45,55,0.109,0.7,4.9665,2.03,14.94,2.0,0.0,14.0,2.0,0.0,2.0,0.0,Liliya_Yu
