DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
0,1,4,31.48182,byplayer,0,4,67,0,0,0.0,Guiac666,account.92a4a5b5915b40c6890628421206418f,0,363.43845,0,0.0,0,1056,0,93.0758,10,6
3,0,4,342.914,byplayer,0,2,17,2,2,7.31805,Dark-King091,account.e4b8370672ca4b0ab19ddd91c4d90b84,0,0.0,0,0.0,1,448,0,576.23236,11,14
0,0,0,0.0,byplayer,0,0,118,0,0,0.0,LibraSgr_7io,account.d422b11b1b854305955d28c8a554dc0a,0,0.0,0,0.0,0,86,0,0.0,1,28
2,0,0,158.20001,byplayer,0,4,22,1,2,6.5569854,P_laod,account.bb0a200540824c1d8dc4a7a6266198c5,0,0.0,0,0.0,0,188,0,89.71667,3,25
0,1,0,29.4,byplayer,0,1,91,0,0,0.0,liangeaichangge,account.f24c84c7d9214f09968daa56fec44a80,0,0.0,0,0.0,0,201,0,219.4264,4,19
1,0,0,100.0,byplayer,0,0,81,0,0,0.0,LYG--yang,account.d726c2fa0cd44296a8d5f82baa62e465,1,0.0,0,0.0,0,343,0,438.4723,3,16
0,0,0,0.0,byplayer,0,0,76,0,0,0.0,AcidOrange_R,account.3fb032552b144cd6a28a182f8735ff28,0,518.56604,0,0.0,0,359,0,453.79712,11,12
0,0,0,0.0,byplayer,0,0,114,0,0,0.0,oukBkgm-03,account.d1d0940a29da49bfaaf5b55b737f4e27,0,0.0,0,0.0,0,146,0,150.37636,3,27
1,0,1,75.4,byplayer,0,0,103,0,0,0.0,xsh-zzy,account.7ca2ff090f4b43899f157d137f95c493,0,0.0,0,0.0,0,225,0,181.01292,2,23
0,0,0,0.0,byplayer,0,0,73,0,0,0.0,NN-ZDM,account.90c62d53527844c2a966d2819cca3db7,0,0.0,0,0.0,0,119,0,27.102272,1,11
1,1,2,158.12598,byplayer,0,1,98,0,0,0.0,she1leycake,account.97ca74d87b4d4d1a9b4586cce978f0d7,0,0.0,0,0.0,0,248,0,141.80003,4,21
0,0,0,0.0,byplayer,0,0,94,0,0,0.0,fxxk_98,account.80aa0f20b7c5498ab2420329990cc7df,0,0.0,0,0.0,0,283,0,307.4772,6,20
0,0,0,79.0,byplayer,0,2,33,1,1,46.57523,xxxxiawan,account.6187e9a8676942fd9c12b01197fd6aef,0,0.0,0,0.0,0,448,0,636.9165,7,14
0,0,5,0.0,byplayer,0,1,70,0,0,0.0,988a-_-,account.f65148c6b9d14322b23716d53a9370b5,0,6288.5566,0,0.0,0,965,0,1053.648,12,9
2,0,3,285.3085,byplayer,1,0,29,1,1,123.60446,LBJ_CAVS1,account.fb866f29aac148e7807f51f90d3859f9,0,1651.7566,0,0.0,0,1270,0,891.74335,9,5
0,0,0,0.0,byplayer,0,0,79,0,0,0.0,Conor-777,account.4343e1ffef204d83b6816033780c8294,0,0.0,0,0.0,0,88,0,25.405651,0,13
0,1,0,52.56216,byplayer,0,0,113,0,0,0.0,lm_hi,account.80514abdc9c848f4a3c0b1a493a0afeb,0,0.0,0,0.0,0,127,0,54.53986,2,26
0,0,0,31.680002,byplayer,0,1,109,0,0,0.0,gxt931228,account.e88a572d997a4889a49967348874790f,0,0.0,0,0.0,0,192,0,131.5618,3,25
5,1,6,603.60944,byplayer,2,2,4,2,6,66.72469,RL-RiMei_1,account.6c258ea02a2345b589d4d97ab9b69394,1,1771.6333,0,0.0,0,1422,0,1341.09,9,4
0,1,2,41.8,byplayer,0,0,72,0,0,0.0,Vip88888_,account.e1269bee5f1e4ae4970c3b08b7169755,0,0.0,0,0.0,0,189,0,54.699295,2,11
1,0,0,73.6,byplayer,1,0,37,1,1,1.7163599,AING_SecurityXD,account.a543e18e099e4aeab87625be08148eb1,1,0.0,0,0.0,0,237,0,195.97993,4,21
0,0,0,0.0,byplayer,0,0,89,0,0,0.0,l7iz,account.b50439903a9d4858ba057207e602f031,0,0.0,0,0.0,0,285,0,282.12634,6,18
2,2,8,234.59718,byzone,1,8,12,1,2,93.15722,illlilllllill,account.2ffb9ebb71644e8dad01132ff419fcb5,3,1015.258,0,0.0,0,1455,0,901.1437,19,3
0,0,0,0.0,byplayer,0,0,93,0,0,0.0,fuxksimeone,account.88591f6059f54dcbbd33278c9c8de0da,0,0.0,0,0.0,0,283,0,130.12053,3,20
0,0,0,57.4,byplayer,0,0,117,0,0,0.0,Losai-,account.e956d4fb708640678f484ca33d179201,0,0.0,0,0.0,0,88,0,7.0407953,1,28
0,0,0,0.0,byplayer,0,0,110,0,0,0.0,xiangxi_1024,account.f7b7eaaba32b4be8828583b11a235dac,0,0.0,0,0.0,0,182,0,80.93801,4,25
6,1,6,793.1054,byplayer,0,11,3,2,7,112.78349,xinsu1_,account.2cbc7fb523c347d3b4d23ba0b61b64f2,5,0.0,0,0.0,0,1144,0,124.48751,12,6
1,0,1,175.0,byplayer,2,0,9,2,3,55.755245,Aatrox-Lzy,account.c87e6dd3afe84c539667a639b19c6f22,0,0.0,0,0.0,0,249,0,427.1281,4,14
0,0,1,0.0,byplayer,0,0,75,0,0,0.0,bobo__0422,account.cd14e28ac01046b3be95dd192b212611,0,793.8055,0,0.0,0,365,0,253.1866,6,12
2,3,1,115.27122,byplayer,0,0,31,1,1,14.532705,Mohaipangzi,account.96685d684c534daeb1fd4dc6f383c64b,0,3373.8843,0,0.0,0,702,0,1098.4528,13,11
0,0,0,0.0,byplayer,0,0,92,0,0,0.0,eueb,account.6691ad77c708464c8e511a8e938992d3,0,0.0,0,0.0,0,178,0,147.59557,6,19
0,0,2,130.8,byplayer,0,6,80,0,0,0.0,18jin-Hao,account.bcf9d355bf124f4f8d7b283954945d65,0,0.0,0,0.0,0,372,0,396.3213,6,16
4,1,3,292.06726,byplayer,1,3,8,2,3,43.403812,xywwu79092,account.75297ad9472c473f81ef14d83402e5db,1,6181.101,0,0.0,1,929,0,960.93866,12,9
2,0,6,73.85641,suicide,0,3,30,1,1,0.0,c571666,account.ffdf31dd382745bd945ba14b76b7a9c5,0,9656.282,0,0.0,0,1035,1,755.7999,9,8
0,0,0,0.0,byplayer,0,0,108,0,0,0.0,b1ey0uyu,account.f9b542de7449414f9e2538b8fb185527,0,0.0,0,0.0,0,198,0,239.81815,6,25
