user_name,user_damage
간즈,42.96
흑인파워,34.21
무중력,36.1
적뿡,40.31
병만,39.35
NewAZ,34.17
나르미초롱이,39.71
비에이치씨레드킹,30.9
살크업,37.02
두븅,31.44
마초남의출사표,35.97
호미닛,36.14
디트오빵,34.03
노인의마지막퍼펙트헛스윙,34.74
똥독잉,35.77
왕자,37.61
김디붕,22.26
흑망치돈까스,34.22
민석망치,28.68
올라프,36.13
신선한망치,33.8
민섭이의피바다,39.06
헣헣헣,35.06
RockHoward,32.69
차밍재혁,33.25
킹릅,11.02
분위기망치는김망치,35.11
능이,30.62
예배,31.31
wREXX,36.91
미스터오함마,8.94
와일드센스,35.35
Submarine,29.49
딴따라전,35.23
츄츄캉,29.6
섹시망치맨,27.57
레이널드,7.0
야와야,31.74
디붕의왕,30.05
훔밈,32.03
aoaos3,28.93
순정마초두개골,34.08
디붕형,3.01
재떡망치,35.11
고난,33.23
황금나무망치,37.22
경이로운뚱보,37.41
마라탕매우순한맛,27.95
성남매콤망치,38.18
우울한당근,3.6
예하온,34.46
누삼,28.27
레온형,32.76
월평검은수염,26.49
주니어와플,5.46
치명적인유히,30.69
돌돌이,34.88
냉탕에죠스,27.47
슈라라,34.25
망치,1.76
엘듀붕,33.29
스와니깡,32.85
닉넴이젤귀찮아,30.74
킴필두,31.43
공필악,32.65
꼬마시,31.49
김디환,34.67
퍼스펑,31.59
가뜨수,31.79
디스트똥코코,33.23
오함마냥,5.03
진욱킴,37.2
아브라함,29.42
김페이지,35.67
쏭기7,34.46
루테란망치,34.05
호요리,34.02
PYGAMJA,33.31
스맨신,30.24
김빵밀,30.09
v사이버돌쇠v,34.92
토디,32.09
벅벅긁적긁적,29.22
든붕,35.88
소락,13.22
우스킹,24.92
보학,27.87
핵G강,29.15
500won,2.25
니랩의잠이오냐,28.37
코로나망치,31.6
섬마디트,19.08
은평구뚱땡이,27.93
별빛디붕,26.66
비씨디붕,33.25
씨빵,30.33
맛있는망치GT,26.7
일격에주님,29.09
디붕이는울지않을거야,33.87
취목,31.78
윤맹취,32.68
불만이냐,30.28
악접,27.42
너무귀여운디스트로이어,30.37
설시안,31.54
라이게키,32.55
청하나,6.65
앙포커띠,29.4
유독성,27.58
모험가김루빅,35.12
래퍼짱구,30.52
v쁘띠스윙v,29.95
강결이,34.03
웜마,26.7
적목,31.52
30년원조망치돈까스명인,31.23
순사미,30.32
흑형알리,32.6
망치잡이쿵쿵쿠쿠쿵,32.17
리멤브란서가그린불칸,31.76
미트푸셔,24.47
01029261934,32.76
한국오도해병,27.26
대구꿀망치,29.89
간다간다뿡망치,29.72
효진세,33.56
호두네엉아,32.0
비상탈출쇼파,32.57
돈가스장인남봉남,2.66
짱난닭,26.45
상어가상상,3.47
조씨,32.39
다봉이,32.15
수보기다,30.94
수제망치달인,29.69
소녀디붕이,30.2
망치가몹시무거움,29.46
중수광,26.3
프로틴촹혀니,32.37
한화우승각,28.6
디퐁디퐁,30.02
작은양자,32.45
해더,32.54
으뜸망티,33.63
이번엔딸수있다니깐요,26.8
드브디트,11.51
냄새,33.28
망치부르셧나,31.11
바가야로,29.15
한번형,30.79
망치대장퐁퐁이,30.5
디트향뭍은겁장이,27.29
디트맛만볼까,32.71
수잔스트롱,33.11
섹시마왕동호날두,29.22
소고기카레치즈돈까스,35.43
재원빠빠,31.89
heostorn,26.41
위험,31.14
