,B.F. 대검,피바라기,덤불 조끼,쇠사슬 조끼,연습용 장갑,죽음의 검,용의 발톱,,전략가의 왕관,도적의 장갑,침묵의 장막,수호자의 맹세,거인의 허리띠,거인 학살자,밤의 끝자락,구인수의 격노검,정의의 손길,마법공학 총검,힘의 성배,무한의 대검,이온 충격기,보석 건틀릿,최후의 속삭임,강철의 솔라리 펜던트,대천사의 지팡이,뒤집개,수은,모렐로노미콘,쓸데없이 큰 지팡이,음전자 망토,방패파괴자,라바돈의 죽음모자,붉은 덩굴정령,곡궁,태양불꽃 망토,구원,루난의 허리케인,쇼진의 창,스태틱의 단검,가고일 돌갑옷,여신의 눈물,거인의 결의,워모그의 갑옷,지크의 전령,서풍,영혼의 형상,죽음의 저항,황금 징수의 총,무한한 삼위일체,마나자네,흑요석 양날 도끼,란두인의 예언,존야의 역설,의지파괴자,축복받은 피바라기,집단 충격기,악마 학살자,용의 의지,수호상 돌갑옷,영겁의 속삭임,공정의 주먹,철갑의 서약,눈부신 건틀릿,새벽의 서광,구인수의 심판,마법공학 생명검,빛나는 죽음의 검,엔젤로노미콘,반짝이는 수은,라바돈의 초월한 죽음모자,면죄,잉걸불 문장,장난꾸러기의 장갑,장미가시 조끼,루난의 폭풍,히라나의 창,스태틱의 호의,태양빛 망토,거인의 맹세,우르프 천사의 지팡이,워모그의 자부심,천공의 대검,즈롯 차원문,쓸데없이 큰 보석,선체분쇄자,속임수 거울,죽음불꽃 손아귀,저격수의 집중,저녁갑주,별의 균형,크라운가드,왕가의 방패,굳건한 심장,거석상의 유산,스테락의 도전,스테락의 초강력 보호막,푸른 파수꾼,푸른 축복,적응형 투구,해신 작쇼,내셔의 이빨,남작의 선물,군단의 방패,순교자의 미덕,밴시의 장막,도박꾼의 칼날,영원한 불꽃,기사의 맹세,월석 재생기,앙심,불안정한 보물 상자,승천의 부적,생선대가리,수상한 외투,지평선의 초점,방한 장갑,끝없는 절망,고속 연사포,활력증진의 펜던트,루덴의 폭풍,은빛 여명,자객의 발톱,망령 해적검,역병의 보석,마법사의 최후,리치베인,라이트실드 문장,추적자의 팔목 보호대,거물의 갑옷,프라이팬,전략가의 망토,전략가의 방패,검은 장미단 상징,화공 남작 상징,실험체 상징,가족 상징,점화단 상징,반군 상징,집행자 상징,정복자 상징,자동기계 상징,아카데미 상징,매복자 상징,난동꾼 상징,기동타격대 상징,포수 상징,선도자 상징,투사 상징,고물상 상징,마법사 상징,저격수 상징,감시자 상징,주시자 상징,지배자 상징,요동치는 화공 탱크,처형인의 사슬칼날,살점 찢개,필트오버 마법공학 갑옷,풀려난 독소,악성 바이러스,완벽한 처형인의 사슬칼날,완벽한 살점 찢개,완벽한 요동치는 화공 탱크,완벽한 필트오버 마법공학 갑옷,완벽한 풀려난 독소,완벽한 악성 바이러스,처형인의 사슬칼날 II,살점 찢개 II,요동치는 화공 탱크 II,필트오버 마법공학 갑옷 II,풀려난 독소 II,악성 바이러스 II,시머 꽃,시머 꽃 II,완벽한 시머 꽃,축전 사브르,축전 사브르 II,완벽한 축전 사브르,회수한 건틀릿,회수한 리볼버,회수한 기계 장치,압수됨!,휴대용 이상 현상
신지드,0,37,81,12,3,2,132,10,4,40,5,43,8,3,1,4,8,3,0,1,120,9,2,2,30,2,10,10,3,7,2,6,8,3,121,143,3,1,6,505,7,6,302,2,1,24,0,0,0,0,0,17,1,0,0,0,0,0,8,0,0,4,0,1,0,0,0,1,0,0,3,1,1,2,0,0,0,2,0,2,5,0,2,0,15,1,0,0,26,0,297,7,133,2,10,0,6,0,30,0,1,0,4,2,2,0,0,2,1,2,1,0,0,0,0,0,3,0,5,0,1,0,0,1,0,0,6,2,8,0,3,1,5,0,3,0,1,12,1,4,2,4,4,3,2,4,26,2,3,2,0,0,0,1,8,0,2,4,3,7,0,0,2,5,0,0,1,1,7,4,4,0,3,0,1,4,1,0,12,16,27,0,0
레나타 글라스크,0,1,0,1,2,1,1,0,14,6,1,0,1,27,0,62,2,38,4,0,0,74,5,0,610,0,27,58,6,0,7,33,108,7,1,2,2,737,77,0,10,3,0,2,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,23,0,0,0,46,0,0,0,8,0,0,3,1,1,0,1,0,1,1,0,0,21,1,9,1,553,7,0,0,0,17,2,0,5,0,0,2,0,0,0,0,0,4,0,2,0,0,0,3,4,1,0,0,0,0,8,4,5,0,3,0,0,2,1,1,0,0,28,0,0,0,0,0,2,0,1,2,0,5,0,3,0,1,31,28,0,0,0,0,3,5,1,0,0,0,45,18,45,60,36,3,5,0,11,23,3,0,0
실코,3,4,0,0,0,0,0,0,45,13,0,0,0,89,8,207,10,46,1,2,1,670,2,0,97,0,19,56,5,0,76,90,248,10,1,0,3,3374,61,0,10,0,0,0,1,0,0,5,1,77,2,0,15,4,0,0,1,0,0,0,0,0,6,0,3,1,0,1,0,1,0,4,1,0,0,165,2,0,0,1,0,0,0,0,0,0,8,4,1,0,0,0,2,0,0,0,37,0,64,0,1750,31,0,0,0,26,1,0,6,0,0,5,1,0,1,2,1,1,0,2,0,0,0,22,8,6,0,0,0,0,1,1,11,0,3,0,1,1,3,6,1,0,34,2,0,0,14,1,0,8,1,0,0,0,0,2,3,1,55,35,13,1,0,0,48,64,4,1,0,0,72,85,5,6,8,19,63,50,2,20,2,3,2
카밀,7,424,5,5,5,13,7,2,6,140,4,10,9,56,175,11,611,21,2,53,17,11,29,10,6,1,45,6,5,4,37,7,13,8,17,15,12,4,4,9,6,457,12,16,2,0,16,6,14,0,0,27,3,1,3,1,5,1,0,1,23,1,0,4,1,0,1,1,1,0,1,0,8,0,0,1,0,2,8,1,0,0,3,0,3,1,0,4,13,2,9,0,7,2,219,6,19,0,6,0,5,1,1,4,8,0,0,6,0,2,4,1,0,4,0,7,0,3,2,0,35,54,44,0,1,0,1,0,0,1,2,5,2,32,5,2,67,7,0,3,7,2,0,1,6,1,1,12,5,3,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2
블리츠크랭크,3,38,163,29,3,11,201,0,7,138,4,105,34,4,17,37,9,9,0,7,212,5,6,7,6,2,16,8,4,15,8,5,9,1,370,193,16,2,6,351,6,23,289,1,0,20,4,0,1,0,0,10,0,0,2,3,0,2,3,1,0,2,0,1,0,0,0,1,0,0,5,0,5,2,0,1,0,4,0,2,2,0,6,0,18,5,2,0,152,2,136,4,172,1,17,1,9,0,46,1,11,0,7,3,1,0,0,1,0,1,1,2,0,5,0,1,30,0,19,0,1,0,0,0,0,0,31,6,16,1,1,2,150,6,9,1,14,2,2,3,0,1,1,5,2,1,3,1,0,1,1,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
바이,50,2643,61,50,16,49,74,40,55,570,1,105,57,158,633,95,1190,87,1,178,57,36,99,14,24,1,277,38,15,42,116,33,50,26,159,111,61,10,31,76,34,2128,165,10,2,5,75,0,120,0,2,11,6,6,85,3,7,6,1,3,27,0,0,41,5,2,4,3,5,2,6,2,46,3,3,1,1,12,49,6,3,5,5,0,46,5,0,0,164,5,68,4,64,2,1809,55,48,2,78,6,44,0,11,1,7,2,0,0,1,3,2,2,1,41,41,47,5,4,5,3,77,38,45,0,1,0,2,1,1,2,0,1,4,7,180,67,53,19,0,89,3,2,135,27,34,15,4,0,140,4,12,16,16,9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
케이틀린,57,18,0,0,35,471,3,26,93,109,0,6,2,552,42,179,188,132,1,2580,2,52,1217,0,13,1,63,107,5,2,473,12,315,56,2,2,96,989,44,2,88,7,4,11,5,0,1,111,11,14,16,0,2,4,0,0,2,0,0,7,1,0,0,0,2,0,3,0,0,0,0,2,2,0,0,9,0,0,0,1,0,41,0,14,0,3,3,31,3,0,2,1,4,0,8,0,1652,5,107,0,22,0,0,0,4,10,14,2,22,1,0,0,11,0,0,2,0,1,0,6,44,1,0,0,1,1,1,0,0,0,2,2,2,0,96,2,9,3,0,31,3,0,80,5,13,13,10,12,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
에코,119,1447,19,216,312,7,35,10,47,235,0,39,116,107,168,96,2766,125,2,15,1136,1044,14,8,76,3,57,83,805,275,160,608,67,123,75,43,29,18,26,26,1152,1429,48,3,1,1,24,1,71,10,4,19,108,6,14,9,4,2,2,2,69,2,7,5,1,5,1,3,1,7,0,3,22,2,1,2,2,4,12,3,0,0,1,0,14,6,4,9,37,3,795,11,34,2,54,3,78,2,88,1,43,1,6,0,7,1,1,5,1,3,1,3,1,5,0,9,0,1,2,1,0,6,1,5,15,2,1,74,2,2,3,1,2,56,7,11,0,225,108,12,10,2,0,9,4,1,6,47,0,14,49,55,92,11,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,1,0,0,1,0,15
아무무,1,7,54,23,4,6,57,2,3,93,2,15,39,2,4,27,9,4,1,0,51,5,5,7,4,1,4,5,7,19,8,5,4,5,130,76,4,1,3,95,2,6,80,4,6,5,0,0,0,0,0,16,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,4,0,4,2,0,0,60,0,27,1,50,0,8,0,2,0,18,0,9,0,6,6,2,0,0,0,0,1,7,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,9,0,6,1,10,13,3,1,2,2,24,3,6,3,0,0,0,0,2,0,3,2,2,6,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
말자하,2,5,2,0,3,4,2,6,32,54,0,0,0,111,9,129,18,123,3,11,2,184,3,0,286,0,21,155,14,1,108,91,190,17,3,0,2,493,101,2,17,5,1,3,0,0,0,2,0,11,4,1,5,0,0,0,1,0,0,1,0,0,0,0,1,2,0,4,0,0,0,6,1,0,0,12,1,0,0,11,0,0,0,1,0,2,10,4,1,0,3,0,4,0,2,0,58,1,110,1,202,3,0,0,2,10,2,1,3,0,0,4,1,0,0,2,0,1,0,4,0,0,0,9,3,3,0,2,0,0,2,0,10,4,5,1,1,14,1,23,0,3,1,0,18,1,0,2,1,22,8,9,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
