,B.F. 대검,피바라기,덤불 조끼,쇠사슬 조끼,연습용 장갑,죽음의 검,용의 발톱,,전략가의 왕관,도적의 장갑,침묵의 장막,수호자의 맹세,거인의 허리띠,거인 학살자,밤의 끝자락,구인수의 격노검,정의의 손길,마법공학 총검,힘의 성배,무한의 대검,이온 충격기,보석 건틀릿,최후의 속삭임,강철의 솔라리 펜던트,대천사의 지팡이,뒤집개,수은,모렐로노미콘,쓸데없이 큰 지팡이,음전자 망토,방패파괴자,라바돈의 죽음모자,붉은 덩굴정령,곡궁,태양불꽃 망토,구원,루난의 허리케인,쇼진의 창,스태틱의 단검,가고일 돌갑옷,여신의 눈물,거인의 결의,워모그의 갑옷,지크의 전령,서풍,영혼의 형상,죽음의 저항,황금 징수의 총,무한한 삼위일체,마나자네,흑요석 양날 도끼,란두인의 예언,존야의 역설,의지파괴자,축복받은 피바라기,집단 충격기,악마 학살자,용의 의지,수호상 돌갑옷,영겁의 속삭임,공정의 주먹,철갑의 서약,눈부신 건틀릿,새벽의 서광,구인수의 심판,마법공학 생명검,빛나는 죽음의 검,엔젤로노미콘,반짝이는 수은,라바돈의 초월한 죽음모자,면죄,잉걸불 문장,장난꾸러기의 장갑,장미가시 조끼,루난의 폭풍,히라나의 창,스태틱의 호의,태양빛 망토,거인의 맹세,우르프 천사의 지팡이,워모그의 자부심,천공의 대검,즈롯 차원문,쓸데없이 큰 보석,선체분쇄자,속임수 거울,죽음불꽃 손아귀,저격수의 집중,저녁갑주,별의 균형,크라운가드,왕가의 방패,굳건한 심장,거석상의 유산,스테락의 도전,스테락의 초강력 보호막,푸른 파수꾼,푸른 축복,적응형 투구,해신 작쇼,내셔의 이빨,남작의 선물,군단의 방패,순교자의 미덕,밴시의 장막,도박꾼의 칼날,영원한 불꽃,기사의 맹세,월석 재생기,앙심,불안정한 보물 상자,승천의 부적,생선대가리,수상한 외투,지평선의 초점,방한 장갑,끝없는 절망,고속 연사포,활력증진의 펜던트,루덴의 폭풍,은빛 여명,자객의 발톱,망령 해적검,역병의 보석,마법사의 최후,리치베인,라이트실드 문장,추적자의 팔목 보호대,거물의 갑옷,프라이팬,전략가의 망토,전략가의 방패,검은 장미단 상징,화공 남작 상징,실험체 상징,가족 상징,점화단 상징,반군 상징,집행자 상징,정복자 상징,자동기계 상징,아카데미 상징,매복자 상징,난동꾼 상징,기동타격대 상징,포수 상징,선도자 상징,투사 상징,고물상 상징,마법사 상징,저격수 상징,감시자 상징,주시자 상징,지배자 상징,요동치는 화공 탱크,처형인의 사슬칼날,살점 찢개,필트오버 마법공학 갑옷,풀려난 독소,악성 바이러스,완벽한 처형인의 사슬칼날,완벽한 살점 찢개,완벽한 요동치는 화공 탱크,완벽한 필트오버 마법공학 갑옷,완벽한 풀려난 독소,완벽한 악성 바이러스,처형인의 사슬칼날 II,살점 찢개 II,요동치는 화공 탱크 II,필트오버 마법공학 갑옷 II,풀려난 독소 II,악성 바이러스 II,시머 꽃,시머 꽃 II,완벽한 시머 꽃,축전 사브르,축전 사브르 II,완벽한 축전 사브르,회수한 건틀릿,회수한 리볼버,회수한 기계 장치,차원의 가보,압수됨!,휴대용 이상 현상
신지드,1,119,605,39,7,4,842,18,7,150,0,215,48,9,12,26,12,10,0,7,817,24,1,6,86,0,20,24,5,44,7,8,14,3,497,1237,12,0,7,4117,16,37,1883,5,5,107,5,0,0,0,0,58,0,0,0,11,0,2,14,0,0,8,0,0,0,0,0,3,0,0,23,0,1,6,0,0,0,10,0,3,25,0,8,2,59,9,0,0,98,4,2278,36,1009,3,31,0,7,2,129,1,3,0,27,17,5,0,0,1,5,1,5,0,0,7,1,0,39,0,32,0,6,0,0,0,0,0,75,6,60,4,12,11,8,0,22,2,3,22,5,6,5,14,4,16,0,15,692,4,5,2,4,0,1,0,18,9,5,18,5,0,0,0,5,7,0,0,2,4,9,11,3,1,3,0,0,2,4,0,64,63,224,0,0,3
레나타 글라스크,25,5,1,4,26,9,8,16,73,83,10,0,8,257,15,218,10,188,41,15,0,426,10,0,4637,0,379,184,73,8,131,115,650,96,12,5,21,5189,462,3,61,15,2,28,1,0,0,0,3,25,11,12,17,0,0,0,3,0,0,0,0,0,4,0,1,1,0,1,4,2,0,7,3,0,0,130,11,0,0,230,3,0,5,46,0,0,10,6,0,0,6,0,0,0,7,0,58,0,113,0,4027,20,0,2,6,39,20,4,25,4,0,3,5,0,0,4,0,4,0,11,1,1,0,4,13,14,1,3,0,0,35,8,51,0,9,1,0,3,1,6,8,19,45,0,7,0,0,1,5,6,1,14,0,3,1,5,0,0,77,55,1,0,0,0,10,3,2,1,0,0,83,56,141,95,71,5,5,2,30,181,2,0,0,0
실코,5,6,0,0,0,0,1,0,58,10,0,1,0,100,2,265,5,70,2,7,1,727,8,0,113,0,18,142,16,0,110,110,362,18,0,1,0,3933,115,0,5,0,2,4,0,0,0,8,0,56,3,0,6,0,0,0,4,0,0,0,0,0,4,0,7,2,0,0,0,3,0,3,0,0,0,132,1,0,0,1,0,0,0,1,0,0,7,9,0,0,1,0,0,0,0,0,48,2,81,1,2139,17,0,0,2,46,8,0,1,0,0,0,2,0,0,0,0,3,0,1,0,0,0,16,3,1,0,0,0,0,0,0,18,0,3,1,1,0,2,3,10,0,95,0,2,0,30,6,2,3,4,0,0,0,0,5,0,1,95,72,16,0,0,0,74,131,5,1,0,0,141,131,8,11,15,50,99,106,15,23,2,0,0,1
카밀,21,762,22,13,25,31,26,16,16,363,8,14,16,73,212,41,899,42,3,99,39,26,100,21,13,1,108,15,11,13,69,31,37,24,56,25,25,9,26,20,16,790,31,42,22,0,8,17,37,0,0,57,2,1,8,3,2,0,0,0,22,4,0,2,0,0,0,0,2,3,0,2,7,3,0,0,0,0,12,0,0,0,3,0,4,2,0,11,53,0,38,1,26,0,354,10,44,0,17,0,21,1,3,2,21,0,0,0,0,2,7,0,8,11,0,10,0,6,2,0,73,76,78,0,0,0,0,0,2,3,11,2,5,60,21,100,104,11,0,9,3,0,0,6,8,0,2,35,20,1,11,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,17
블리츠크랭크,3,40,210,26,7,3,219,6,9,160,5,105,49,10,9,89,23,4,0,3,322,6,4,3,12,2,19,11,13,14,7,12,12,3,509,278,20,0,8,469,8,18,360,4,4,24,2,0,1,0,0,10,0,0,0,3,0,6,7,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,2,0,0,0,0,12,0,6,6,0,0,237,0,127,0,175,0,16,0,8,0,52,0,10,0,9,6,0,0,2,4,1,0,0,1,0,3,2,0,23,1,14,0,1,0,2,0,0,0,8,0,13,0,4,1,216,2,5,7,8,1,3,0,0,7,3,5,4,5,2,3,6,4,0,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
바이,172,7174,129,217,55,138,190,102,118,1260,9,257,114,272,1377,188,2495,149,11,317,214,75,181,22,80,7,803,100,30,187,269,85,132,128,355,226,93,19,45,144,79,6344,339,13,9,12,145,8,251,2,5,22,6,10,167,6,18,8,4,0,40,6,0,50,1,4,7,1,6,5,13,15,92,4,4,4,1,14,57,9,10,10,3,0,93,12,0,1,450,11,196,11,129,5,4686,101,117,2,158,4,92,3,9,4,16,0,2,34,2,14,4,1,4,70,72,109,3,4,5,0,106,118,143,0,0,0,13,2,2,1,9,7,16,11,420,217,237,56,0,152,10,1,465,75,130,70,11,0,642,7,29,57,20,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
케이틀린,116,12,4,0,110,934,1,34,156,161,2,5,1,1118,44,353,317,228,0,5528,0,105,2552,0,24,0,159,182,19,0,1281,24,709,90,5,1,113,2035,60,5,197,13,3,15,1,0,0,212,16,32,25,0,0,11,0,0,20,5,0,9,3,0,2,0,1,0,7,0,0,0,0,1,6,0,0,12,1,0,0,0,0,115,0,63,0,6,0,55,10,0,11,0,22,0,1,0,3939,18,200,0,45,0,0,0,5,20,6,5,28,0,0,2,11,0,1,3,0,4,0,18,93,4,0,0,0,0,0,0,0,0,12,1,5,0,118,5,3,9,0,95,5,0,155,7,35,23,19,29,14,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
에코,322,6858,42,651,840,30,58,40,135,533,7,94,332,379,367,171,8112,274,9,68,2924,2611,28,18,168,7,156,170,2214,576,566,1991,110,381,140,61,58,44,52,38,5526,6264,83,30,4,5,106,16,184,24,7,11,308,6,87,8,3,4,0,0,229,0,26,1,0,11,1,2,0,14,2,3,15,1,1,1,1,0,66,4,0,0,4,1,42,18,8,21,78,2,1698,18,61,1,91,0,123,2,219,5,94,2,5,0,12,11,1,15,2,1,4,3,3,10,0,53,8,5,1,16,0,20,13,15,50,5,0,241,1,4,4,4,6,98,15,218,0,290,223,15,19,12,0,20,2,5,15,147,0,12,102,74,179,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,40
아무무,11,8,66,26,9,6,65,0,24,142,2,28,45,1,10,30,12,13,2,6,71,1,6,13,7,3,11,5,8,29,12,13,1,21,175,73,2,0,4,142,6,15,93,4,5,2,0,0,0,0,0,16,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,10,4,1,2,0,0,87,0,47,0,77,1,11,0,10,0,20,0,13,0,2,7,0,0,2,4,0,6,8,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,16,0,6,1,15,30,9,2,3,1,32,4,3,2,0,0,2,1,1,2,1,0,10,3,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
말자하,27,32,3,6,15,9,4,42,177,254,0,0,5,988,42,458,101,846,25,42,5,1754,14,0,1579,1,134,958,102,0,792,658,1927,122,15,20,53,3949,631,11,63,10,2,24,4,0,0,10,7,96,26,3,21,4,0,0,0,0,1,0,0,0,18,2,3,9,0,3,0,5,0,15,3,0,0,47,9,0,0,23,0,0,0,26,0,3,42,51,2,0,12,1,4,0,9,0,376,0,530,3,1651,10,0,2,7,45,7,1,29,6,0,18,3,0,0,1,0,7,0,8,0,0,0,36,4,8,0,7,0,2,11,6,43,3,6,1,0,38,9,70,0,23,4,0,46,0,0,1,5,58,13,34,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10
